AccountCode,billingName,rateSheetAccount,billingAddress,billingPhone,billingEmail,billingTerms,Notes,RT AMBU,RT AMBU InLoop,RT w/WC,RT NEED WC,RT RECL,RT STR,1W Ambu InLoop,1W AMBU,1W w/WC,1W NEED WC,1W RECL,1W STR,O2,O2 min,AH MF ST,AH MF END,+Sat?,+Sun?,+Holiday,AHRate,3S MF ST,3S MF END,3SRate,WKND,HOLIDAY,ATTENDANT,ATTmin,WAIT TIME,WaitMin,WaitGrace,Deadhead1,Dhstart,Deadhead2,DH2start,Deadhead3,DH3start,Dhflat,CANCELED,CanHrs,HAZ MAT,BARI WC,BARI WC RT,BARI STR,BARI STR RT,FuelSC,MILEAGE 4,MILEAGE 3,MILEAGE 2,MILEAGE 1,Incl Mi
Encompass Arlington,Encompass Health Rehabilitation Hospital of Arlington ,Encompass Health Arlington ,"3200 Matlock Rd, Arlington, TX 76015 ",(817) 468-4000 ,,,,$90.00,,$90.00,$110.00,$130.00,$180.00,,$45.00,$45.00,$55.00,$65.00,$90.00,$20.00,,21:00,07:00,y,y,,$20.00,,,,$20.00,,$20.00,60,$20.00,60,60,$3.00,30,,,,,,$35.00,4,$63.00,,,,,,,,,Mileage  $4,
Encompass Health Cityview,Encompass Health Rehabilitation Hospital of City View ,Encompass Health Cityview ,"6701 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 370-4700 ,,,,$90.00,,$90.00,$110.00,$130.00,$180.00,,$45.00,$45.00,$55.00,$65.00,$90.00,$20.00,,21:00,07:00,y,y,,$20.00,,,,$20.00,,$20.00,60,$20.00,60,60,$3.00,30,,,,,,$35.00,4,$63.00,,,,,,,,,Mileage  $4,
Encompass Health Mid Cities,Encompass Health Rehabilitation Hospital of the Mid-Cities ,Encompass Health Mid-Cities,"2304 State Hwy 121, Bedford, TX 76021 ",(817) 684-2000 ,,,,$90.00,,$90.00,$110.00,$130.00,$180.00,,$45.00,$45.00,$55.00,$65.00,$90.00,$20.00,,21:00,07:00,y,y,,$20.00,,,,$20.00,,$20.00,60,$20.00,60,60,$3.00,30,,,,,,$35.00,4,$63.00,,,,,,,,,Mileage  $4,
Encompass Health Richardson,Encompass Health Rehabilitation Hospital of Richardson ,Encompass Health Richardson  **Private Pay Pricing - No Ambulatory Rate**,"3351 Waterview Pkwy, Richardson, TX 75080 ",(972) 398-5700 ,,,,n/a,,$100.00,$115.00,$135.00,$200.00,,n/a,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,y,y,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$7.00,30,,,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Encompass Health Waco,Encompass Health Rehabilitation Hospital of Waco ,Encompass Health Waco  ***Using Private Pay Pricing,"3600 S Loop 340, Robinson, TX 76706 ",(254) 523-2200 ,,,,n/a,,$100.00,$115.00,$135.00,$200.00,,n/a,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$7.00,30,,,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Encompass Plano,Encompass Health Rehabilitation Hospital of Plano ,Encompass Health Plano Rehab Hospital,"2800 W 15th St, Plano, TX 75075 ",(972) 612-9000 ,,,,$70.00,,$70.00,$90.00,$110.00,$150.00,,$35.00,$35.00,$45.00,$55.00,$75.00,$20.00,,17:00,23:00,,,,$20.00,23:00,7:00,$50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass San Angelo,"Shannon Rehabilitation Hospital, affiliate of Encompass Health ",N/A (Private Pay used),"6046 Appaloosa Trail, San Angelo, TX 76901 ",(325) 284-4000 ,,,,$60.00,,$100.00,$115.00,$135.00,$200.00,,$35.00,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$7.00,30,,,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Encompass Wichita Falls,Encompass Health Rehabilitation Hospital of Wichita Falls ,Encompass Health Wichita Falls ,"3901 Armory Rd, Wichita Falls, TX 76302 ",(940) 720-5700 ,,,,$90.00,,$90.00,$110.00,$130.00,$180.00,,$45.00,$45.00,$55.00,$65.00,$90.00,$20.00,,21:00,23:00,y,y,,$20.00,,,,,,$20.00,60,$20.00,60,60,$3.00,30,,,,,,$35.00,4,$63.00,,,,,,,,,Mileage  $4,
Garden Terrace,Garden Terrace at Fort Worth ,Garden Terrace,"7500 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 346-8080 ,,,,$120.00,,$120.00,$140.00,$140.00,$200.00,,$60.00,$60.00,$70.00,$70.00,$100.00,$25.00,30,17:00,08:00,y,,,$25.00,,,,$50.00,,,,$25.00,30,,$1.00,0,$2.00,31,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5, - Mileage - $4,
Harris Clearfork,Texas Health Clearfork Hospital,Texas Health Hospital Clearfork    - 5400 Clearfork Main ,"5400 Clearfork Main St, Fort Worth, TX 76109 ",(817) 433-7000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$55.00,$55.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Harris Downtown,Texas Health Harris Methodist Hospital Fort Worth ,Texas Health Harris Methodist Hospital - 1301 Pennsylvania/ 1301 Cooper St,"1301 Pennsylvania Ave, Fort Worth, TX 76104 ",(817) 250-2000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Harris Southlake,Texas Health Harris Methodist Hospital Southlake ,Texas Health Hospital Southlake   - 1545 E Southlake Blvd,"1545 E Southlake Blvd, Southlake, TX 76092 ",(817) 748-8700 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Harris Southwest,Texas Health Harris Methodist Hospital Southwest Fort Worth ,Texas Health Harris Methodist Hospital SW Ft Worth   - 6100 Harris Pkwy,"6100 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-5000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Harrison at Heritage,The Harrison at Heritage,Harrison at Heritage,"4600 Heritage Trace Pkwy, Fort Worth, TX 76244 ",(817) 741-9360 ,,,,$90.00,,$90.00,$110.00,$110.00,$160.00,,$50.00,$50.00,$60.00,$60.00,$85.00,$20.00,30,17:00,08:00,,,,$20.00,,,,$20.00,$20.00,,,$20.00,60,,$1.00,30,,,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $4,Mileage  $3**,
Heart to Heart Hospice,Heart to Heart Hospice,Heart To Heart Hospice,"6940 River Park Cir, Fort Worth, TX 76116 ",(817) 782-9557 ,,,,$120.00,,$120.00,$140.00,$140.00,$200.00,,$60.00,$60.00,$70.00,$70.00,$100.00,$25.00,30,17:00,08:00,y,,,$25.00,,,,$50.00,,,,$25.00,30,,$1.00,0,$2.00,31,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5, - Mileage - $4,
HEB Hospital,Texas Health Harris Methodist Hurst-Euless-Bedford ,Texas Health Hospital H-E-B    1600 Hospital Pkwy,"1600 Hospital Pkwy, Bedford, TX 76022 ",(817) 848-4000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,$20.00,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Hilltop Park Rehab & Care Center,Hilltop Park Rehabilitation & Care Center,Hilltop Park Weatherford  ,"970 Hilltop Dr, Weatherford, TX 76086 ",(817) 599-0000 ,,,,$110.00,,$110.00,$130.00,$130.00,$180.00,,$55.00,$55.00,$65.00,$65.00,$90.00,$25.00,30,17:00,08:00,,,,$30.00,,,,$30.00,$30.00,,,$25.00,30,,$1.00,0,$2.00,31,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4,
Immanuel Healthcare,Immanuel's Healthcare,Immanuel's Healthcare,"4515 Village Creek Rd, Fort Worth, TX 76119 ",(817) 451-8704 ,,,,$100.00,,$100.00,$120.00,$120.00,$170.00,,$50.00,$50.00,$60.00,$60.00,$85.00,$25.00,30,17:00,08:00,,,,$30.00,,,,$30.00,,,,$25.00,30,,$1.00,30,$2.00,50,$3.00,100,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4,
James L West,James L. West Center for Dementia Care,James L West Alzheimer's Center,"1111 Summit Ave, Fort Worth, TX 76102 ",(817) 765-8945 ,,,,$60.00,,$60.00,$70.00,$90.00,$140.00,,$35.00,$35.00,$45.00,$55.00,$75.00,$20.00,,17:00,23:00,,,,$20.00,23:00,7:00,$50.00,$20.00,$50.00,,,$20.00,60,60,,,,,,,$30.00,$35.00,2,$63.00,,,,,,,,,Mileage  $3,
Kindred Arlington,Kindred Hospital Tarrant County - Arlington ,Kindred Hospital - Tarrant County (Arlington)    1000 N Cooper ,"1000 N Cooper St, Arlington, TX 76011 ",(817) 548-3400 ,,,,$120.00,,$120.00,$120.00,$120.00,$200.00,,$60.00,$60.00,$60.00,$60.00,$100.00,n/a,n/a,n/a,n/a,,,,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,$63.00,,,,,,,,Mileage *STRETCHER*  $6,Mileage  $5,
Legend Oaks Fort Worth,Legend Oaks Healthcare and Rehabilitation - Fort Worth ,Legend Oaks - Ft. Worth,"4240 Golden Triangle Blvd, Fort Worth, TX 76244 ",(817) 380-6400 ,,,,$100.00,,$100.00,$120.00,$120.00,$180.00,,$50.00,$50.00,$60.00,$60.00,$90.00,$25.00,30,17:00,08:00,,,,$30.00,,,,$30.00,,,,$25.00,30,,$1.00,0,$2.00,31,,,,$35.00,2,$63.00,,,,,,,,, - Mileage - $4,
Lifecare Haltom City,Life Care Center of Haltom ,Life Care Center of Haltom,"2936 Markum Dr, Haltom City, TX 76117 ",(817) 831-0545 ,,,,$70.00,,$70.00,$90.00,$110.00,$150.00,,$35.00,$35.00,$45.00,$55.00,$75.00,$20.00,,19:00,08:00,y,y,,$15.00,,,,$15.00,,,,$20.00,60,60,$1.00,30,,,,,,$35.00,2,$63.00,,,,,,,,, - Mileage _ $3,
MedStar Mobile Healthcare,MedStar Mobile Healthcare ,Med Star Mobile Healthcare,"2900 Alta Mere Dr, Fort Worth, TX 76116 ",(817) 923-3700 ,,,,$40.00,$75.00,$70.00,$70.00,$70.00,n/a,$40.00,$25.00,$40.00,$40.00,$40.00,n/a,n/a,n/a,18:00,05:00,,,,$20.00,,,,$20.00,,,,,,,,,,,,,,$35.00,2,$63.00,,,,,,,,Mileage AMBULATORY Outside Loop Gets 1st 7 Miles Free 3,$3.00,7
Mirabella Asst Living(pp unless Auth by Admin),Mirabella Assisted Living & Memory Care ,Mirabella Assisted Living,"4242 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 763-0088 ,,,,$90.00,,$90.00,$110.00,$110.00,$180.00,,$45.00,$45.00,$55.00,$55.00,$90.00,$20.00,60,17:00,23:00,,,,$20.00,23:00,5:00,$50.00,$20.00,$20.00,$20.00,60,$20.00,60,,$1.00,30,$2.00,99,,,,$35.00,4,$63.00,$50.00,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4,
North Pointe Nursing & Rehab,North Pointe Nursing & Rehabilitation ,N/A (Private Pay used),"7804 Virgil Anthony Blvd, Watauga, TX 76148 ",(817) 498-7220 ,,,,$60.00,,$100.00,$115.00,$135.00,$200.00,,$35.00,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$5.00,31,$7.00,100,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Pathway Hospice,Pathway Hospice ,Pathway Hospice,"1101 E Arapaho Rd #130, Richardson, TX 75081 ",(214) 377-9377 ,,,,$110.00,,$110.00,$130.00,$130.00,$290.00,,$55.00,$55.00,$65.00,$65.00,$145.00,$25.00,30,17:00,08:00,y,y,,$30.00,,,,,,$25.00,60,$25.00,30,,$1.00,30,$2.00,50,$3.00,100,,$35.00,2,$63.00,$50.00,,,,,,,,Mileage *STRETCHER*  $5,
Private Pay,Private Pay,Private Pay ,,,,,,$60.00,,$100.00,$115.00,$135.00,$200.00,,$35.00,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$5.00,31,$7.00,100,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Renaissance Park,Renaissance Park Multi Care Center ,Renaissance Park Multi Care Center,"4252 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 738-2975 ,,,,$70.00,,$70.00,$90.00,$110.00,$150.00,,$35.00,$35.00,$45.00,$55.00,$75.00,$20.00,,17:00,08:00,,,,$25.00,,,,,,,,$20.00,60,,$1.00,30,,,,,,$35.00,2,$63.00,,,,,,,,, - Mileage - $3,
Richland Hills Rehab,Richland Hills Rehabilitation and Healthcare Center ,Richland Hills Healthcare and Rehab,"3109 Kings Ct, Fort Worth, TX 76118 ",(817) 589-2431 ,,,,$90.00,,$90.00,$110.00,$110.00,$180.00,,$45.00,$45.00,$55.00,$55.00,$90.00,$20.00,,17:00,08:00,,,,$20.00,,,,$20.00,$20.00,$20.00,60,$20.00,60,60,$1.00,30,,,,,,$35.00,3,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4,
Southwest Nursing and Rehab,Southwest Nursing & Rehabilitation Center ,Southwest Nursing & Rehab,"5300 Altamesa Blvd, Fort Worth, TX 76133 ",(817) 346-1800 ,,,,$90.00,,$90.00,$110.00,$110.00,$170.00,,$45.00,$45.00,$55.00,$55.00,$85.00,$20.00,30,17:00,08:00,,,,$20.00,,,,$20.00,$20.00,$20.00,30,$20.00,30,,$1.00,30,,,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4**,
Stayton,The Stayton at Museum Way,Stayton at Museum Way ,"2501 Museum Way, Fort Worth, TX 76107 ",(817) 349-7140 ,,,,$100.00,,$100.00,$120.00,$130.00,$170.00,,$55.00,$55.00,$65.00,$70.00,$90.00,$20.00,,17:00,07:00,,,,$20.00,,,,$20.00,,$20.00,60,$20.00,60,,$1.00,30,,,,,,$35.00,2,$63.00,,,,,,,,, - Mileage - $5,
Texas Health Alliance,Texas Health Harris Methodist Hospital Alliance ,Texas Health Alliance  ,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Texas Health Azle,Texas Health Harris Methodist Hospital Azle ,Texas Health Azle,"108 Denver Trail, Azle, TX 76020 ",(817) 444-8600 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Texas Health Cleburne,Texas Health Harris Methodist Hospital Cleburne ,Texas Health Cleburne   - Using Private Pay Pricing,"201 Walls Dr, Cleburne, TX 76033 ",(817) 641-2551 ,,,,$60.00,,$100.00,$115.00,$135.00,$200.00,,$35.00,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$5.00,31,$7.00,100,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Texas Health Huguley,Texas Health Huguley Hospital ,N/A (Private Pay used),"11801 South Fwy, Burleson, TX 76028 ",(817) 293-9110 ,,,,$60.00,,$100.00,$115.00,$135.00,$200.00,,$35.00,$55.00,$65.00,$75.00,$105.00,$25.00,60,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,$55.00,$25.00,30,$25.00,30,,$4.00,0,$5.00,31,$7.00,100,,$40.00,2,$63.00,$55.00,,,,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7,
Texas Rehab Fort Worth,Texas Rehabilitation Hospital of Fort Worth ,Texas Rehab Hospital Ft Worth *ONE WAY ONLY* 425 Alabama,"425 Alabama Ave, Fort Worth, TX 76104 ",(817) 820-3400 ,,,,n/a,,n/a,n/a,n/a,n/a,,$60.00,$60.00,$60.00,$60.00,$100.00,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,$63.00,,,,,,,,Mileage *STRETCHER*  $6,Mileage  $5,
Texas Rehab Keller,Texas Rehabilitation Hospital of Keller ,Texas Rehab of Keller,"791 S Main St, Keller, TX 76248 ",(817) 562-9703 ,,,,$90.00,,$90.00,$110.00,$110.00,$160.00,,$45.00,$45.00,$55.00,$55.00,$80.00,$20.00,60,17:00,22:00,,,,$20.00,22:00,8:00,$50.00,$20.00,$20.00,$20.00,30,$20.00,30,,$1.00,30,,,,,,$35.00,2,$63.00,$50.00,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4**,
THR Alliance,Texas Health Harris Methodist Hospital Alliance ,Texas Health Alliance  ,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,,,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
THR Denton,Texas Health Presbyterian Hospital Denton ,N/A (Matched other THR rates) ,"3000 I-35, Denton, TX 76201 ",(940) 898-7000 ,,,,$84.00,,$84.00,$108.00,$108.00,$280.00,,$42.00,$42.00,$54.00,$54.00,$140.00,$21.00,,18:00,07:00,y,y,y,$20.00,,,,, ,,,$15.00,15,30,,,,,,,$40.00,$40.00,4,$63.00,$10.00,$20.00,$37.00,$74.00,$0.75,,Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3,
Three Oaks Hospice,Three Oaks Hospice Fort Worth ,Three Oaks Hospice," 500 Grapevine Hwy Suite 225, Hurst, TX 76054 ",(817) 765-6793 ,,,,$120.00,,$120.00,$140.00,$140.00,$200.00,,$60.00,$60.00,$70.00,$70.00,$100.00,$25.00,30,17:00,08:00,y,,,$25.00,,,,$50.00,$25.00,$25.00,30,$25.00,30,,$1.00,0,$2.00,31,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4**,
tp,TripPortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
