AccountCode,billingName,billingAddress,billingPhone,billingEmail,ratePlan,billingTerms,Notes,rateMatchType,rateMatchScore,rateSheetAccount,ROUND TRIP AMBULATORY,ROUND TRIP w/WC,ROUND TRIP NEEDS WC,ROUND TRIP RECLINER,ROUND TRIP STRETCHER,1-WAY AMBULATORY,1-WAY w/WHEELCHAIR,1-WAY NEEDS WHEELCHAIR,1-WAY RECLINER,1-WAY STRETCHER,OXYGEN,AFTER HOURS,3RD SHIFT,WEEKEND,HOLIDAY,ATTENDANT,WAIT TIME,DRY RUN,CANCELLATION,HAZ MAT,BARI CHARGE,BARI STR,MILEAGE 4,MILEAGE 3,MILEAGE 2,MILEAGE 1
Kindred Arlington,Kindred Hospital Tarrant County - Arlington ,"1000 N Cooper St, Arlington, TX 76011 ",(817) 548-3400 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend Oaks Fort Worth,Legend Oaks Healthcare and Rehabilitation - Fort Worth ,"4240 Golden Triangle Blvd, Fort Worth, TX 76244 ",(817) 380-6400 ,,,,,fuzzy>=0.90,0.9523809523809523,Legend Oaks - Ft. Worth,100,100,120,120,180.0,50,50,60,60,90.0, - Oxygen - $$25/Half-hr,After Hours - Mon - Fri  5pm-8am - $30,3rd Shift  N/A,Weekend   $30,Holiday N/A,Attendant N/A,Wait Time  $25/Half-Hour,One Way Dead Head $1/mi>30 mi / $2 >31+ mi,Cancellation 2 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $na,,,,, - Mileage - $4
Lifecare Haltom City,Life Care Center of Haltom ,"2936 Markum Dr, Haltom City, TX 76117 ",(817) 831-0545 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedStar Mobile Healthcare,MedStar Mobile Healthcare ,"2900 Alta Mere Dr, Fort Worth, TX 76116 ",(817) 923-3700 ,,,,,fuzzy>=0.90,0.9803921568627451,Med Star Mobile Healthcare,RT Inside Loop 820 ***AMBULATORY***  $75 FLAT RATE,RT Outside Loop 820 *AMBULATORY* AMBULATORY ***1st 7 Miles Free $40 + $3/Mile - 1st 7 Miles Free,RT *w/Wheelchair* All Locations  $70 + $3/Mile,,,1 Way Trip Inside Loop 820 *** Ambulatory***  $40 Rate,1 Way Trip Ouside Loop 820 *AMBULATORY* 1st 7 Miles Free $25 + $3/Mile - 1st 7 Miles Fee,1 Way Trip w/Wheelchair All Locations  $40 + $3/Mile,,,Oxygen  N/A,After Hours Drive EnRoute Before 5AM or After 6PM            $20,3rd Shift  N/A,Weekend   $20,Holiday N/A,Attendant N/A,Wait Time  N/A,Dry Run N/A,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63,Bariatric Surcharge 350 Lbs na,,,,Mileage AMBULATORY Outside Loop Gets 1st 7 Miles Free 3,
Mirabella Asst Living(pp unless Auth by Admin),Mirabella Assisted Living & Memory Care ,"4242 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 763-0088 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pointe Nursing & Rehab,North Pointe Nursing & Rehabilitation ,"7804 Virgil Anthony Blvd, Watauga, TX 76148 ",(817) 498-7220 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathway Hospice,Pathway Hospice ,"1101 E Arapaho Rd #130, Richardson, TX 75081 ",(214) 377-9377 ,,,,,exact,1.0,Pathway Hospice,110,110,130,130,290.0,55,55,65,65,145.0, - Oxygen - $25 half/hr of transport,After Hours - Mon - Sun  5pm-8am - $30,11pm - 7am -  3rd Shift - $NA,Weekend   $NA, - Holiday - $NA,Attendant  $25/Hour,Wait Time  $25 Half/Hour,Dry Run 30-49=$1/Mi;  50-99 Mi=$2/mi; 100+ Mi=$3/Mi,Cancellation 2 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $50,,,,,Mileage *STRETCHER*  $5
Private Pay,Private Pay,,,,,,,exact,1.0,Private Pay ,60,100,115,135,200.0,35,55,65,75,105.0, - Oxygen - $25/hr of transport,After Hours - Mon - Fri  5pm-11pm - $30,3rd Shift 11pm - 7am -  $55,Weekend   7am - 11pm) after 11pm use 3rd shift) $30, - Holiday - $55,Attendant  $25          1/2-HOUR,Wait Time  $25          1/2-HOUR,Dry Run - Use Mileage Rate,Cancellation 2 Hrs or Less $40,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $55,,*ROUND TRIP STRETCHER* Mileage $5,*ROUND TRIP* Mileage $4,Mileage 1-Way *STRETCHER*<30-$6    / 31-99-$7 />100-$8,*ONE WAY * Mileage <30-$4    / 31-99-$5 />100-$7
Renaissance Park,Renaissance Park Multi Care Center ,"4252 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 738-2975 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland Hills Rehab,Richland Hills Rehabilitation and Healthcare Center ,"3109 Kings Ct, Fort Worth, TX 76118 ",(817) 589-2431 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Nursing and Rehab,Southwest Nursing & Rehabilitation Center ,"5300 Altamesa Blvd, Fort Worth, TX 76133 ",(817) 346-1800 ,,,,,exact,1.0,Southwest Nursing & Rehab,90,90,110,110,170.0,45,45,55,55,85.0, - Oxygen - $20 1/2-Hour,After Hours - Mon - Fri  5pm-8am - $20,3rd Shift  N/A,Weekend  USE AFTER HOURS,Holiday  USE AFTER HOURS,Attendant  $20          1/2-HOUR,Wait Time  $20          1/2-HOUR,Dry Run 30+ Mi $1/Mile,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $na,,,,Mileage *STRETCHER*  $5,Mileage  $4**
Stayton,The Stayton at Museum Way,"2501 Museum Way, Fort Worth, TX 76107 ",(817) 349-7140 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Health Alliance,Texas Health Harris Methodist Hospital Alliance ,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,,,,,exact,1.0,Texas Health Alliance  ,84,84,108,108,280.0,42,42,54,54,140.0, - Oxygen - 1-6 LPM $21,After Hours - Mon - Fri  6PM - 7AM - $20,3rd Shift - N/A,Weekend AFTER 6PM   $20, - Holiday AFTER 6PM- $20,Bari See Bariatric ----------->,"Wait Time - 30 min Free, then $15 per 15 minutes",Dry Run $40,Cancellation 4 Hrs or Less $40,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric WHEELCHAIR 300 lbs- $10 (Round trip $20), - Bariatric STRETCHER 300 lbs - $37 (Round Trip 74),Fuel SURCHARGE $0.75/mi  (Data AAA gas over $4/gal day of trip),Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3
Texas Health Azle,Texas Health Harris Methodist Hospital Azle ,"108 Denver Trail, Azle, TX 76020 ",(817) 444-8600 ,,,,,exact,1.0,Texas Health Azle,84,84,108,108,280.0,42,42,54,54,140.0, - Oxygen - 1-6 LPM $21,After Hours - Mon - Fri  6PM - 7AM - $20,3rd Shift - N/A,Weekend AFTER 6PM   $20, - Holiday AFTER 6PM- $20,Bari See Bariatric ----------->,"Wait Time - 30 min Free, then $15 per 15 minutes",Dry Run $40,Cancellation 4 Hrs or Less $40,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric WHEELCHAIR 300 lbs- $10 (Round trip $20), - Bariatric STRETCHER 300 lbs - $37 (Round Trip 74),Fuel SURCHARGE $0.75/mi  (Data AAA gas over $4/gal day of trip),Mileage *Stretcher*  $5,Mileage *Wheelchair*  $4,Mileage  $3*Ambulatory* $3
Texas Health Cleburne,Texas Health Harris Methodist Hospital Cleburne ,"201 Walls Dr, Cleburne, TX 76033 ",(817) 641-2551 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Health Huguley,Texas Health Huguley Hospital ,"11801 South Fwy, Burleson, TX 76028 ",(817) 293-9110 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Rehab Fort Worth,Texas Rehabilitation Hospital of Fort Worth ,"425 Alabama Ave, Fort Worth, TX 76104 ",(817) 820-3400 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Rehab Keller,Texas Rehabilitation Hospital of Keller ,"791 S Main St, Keller, TX 76248 ",(817) 562-9703 ,,,,,fuzzy>=0.90,0.9230769230769231,Texas Rehab of Keller,90,90,110,110,160.0,45,45,55,55,80.0, - Oxygen - $$20/hr of transport,After Hours - Mon - Fri  5pm-10pm - $20,10pm - 8am -  3rd Shift - $50,Weekend   USE AFTER HOURS, - Holiday - USE AFTER HOURS,Attendant  $20          1/2-HOUR,Wait Time  $20          1/2-HOUR,Dry Run 30+Miles $1/Mile,Cancellation 2 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $50,,,,Mileage *STRETCHER*  $5,Mileage  $4**
THR Alliance,Texas Health Harris Methodist Hospital Alliance ,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
THR Denton,Texas Health Presbyterian Hospital Denton ,"3000 I-35, Denton, TX 76201 ",(940) 898-7000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Oaks Hospice,Three Oaks Hospice Fort Worth ," 500 Grapevine Hwy Suite 225, Hurst, TX 76054 ",(817) 765-6793 ,,,,,exact,1.0,Three Oaks Hospice,120,120,140,140,200.0,60,60,70,70,100.0, - Oxygen - $25/Half-hr of transport,After Hours - Mon - Sat  5pm-8am - $25,3rd Shift - $N/A,Weekend (SUNDAY ONLY)  $50, - Holiday - USE AFTER HOURS,Attendant  $25          1/2-HOUR,Wait Time  $25          1/2-HOUR,Dry Run 1-30 MI $1/ 31< $2 MI  ,Cancellation 2 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $N/A,,,,Mileage *STRETCHER*  $5,Mileage  $4**
tp,TripPortal,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Terrace,Trinity Terrace ,"1600 Texas St, Fort Worth, TX 76102 ",(817) 338-2400 ,,,,,exact,1.0,Trinity Terrace,80,80,90,100,160.0,40,40,50,60,80.0, - Oxygen - $$20/hr of transport,After Hours - Mon - Fri  5pm-11pm - $20,11pm - 7am -  3rd Shift - $50,Weekend   $20, - Holiday - $20,Attendant  $20/Hour,Wait Time  $20/Hour,Dry Run 30-99=$1/Mi  100+=$2/mi  ,Cancellation 4 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $50,,,,, - Mileage - $3
Ultimate Plus Hospice,Ultimate Plus Hospice,"1701 River Run Suite 1015, Fort Worth, TX 76107 ",(214) 427-8227 ,,,,,exact,1.0,Ultimate Plus Hospice,110,110,130,150,230.0,55,55,65,75,115.0, - Oxygen - $25,After Hours - Mon - Fri  5pm-7am- $35,11pm - 7am -  3rd Shift -N/A,Weekend - SAT & SUN- USE AFTER HRS, - Holiday - $50,Attendant  $NOT ADDRESSED,Wait Time  $NO ADDRESSED,Dry Run 30 Mi or more $2/mi,Cancellation 2 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $n/a,,,,, - Mileage - $5
Valor Hospice,Valor Hospice,"1412 W Magnolia Ave Ste 300, Fort Worth, TX 76104 ",(682) 224-8998 ,,,,,exact,1.0,Valor Hospice,100,100,120,120,170.0,50,50,60,60,85.0, - Oxygen - $25/Half Hr,After Hours - Mon - Fri  5pm-8am - $30,3rd Shift  N/A,Weekend   $30,Holiday N/A,Attendant  $,Wait Time  $25/Half-Hour,Dry Run $1 mi < 30mi/ $2 mi>31+ mi,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $na,,,,Mileage *STRETCHER*  $5,Mileage  $4**
