AccountCode,ShortCode,rate_sheet_account,billingName,billing_address,billing_phone ,cancel_fee,cancel_avoid_window_hours,base_1w_ambu_inloop,base_1w_ambu,base_1w_wc,needwc_1w,recl_1w,base_1w_str,base_rt_ambu_inloop,base_rt_ambu,base_rt_wc,needwc_rt,recl_rt,base_rt_str,included_miles,wc_mile_rate_1w,str_mile_rate_1w_0_30,str_mile_rate_1w_31_100,str_mile_rate_1w_101_plus,wc_mile_rate_rt,str_mile_rate_rt,mile_rate_0_30,mile_rate_31_100,mile_rate_101_plus,after_hours_start,after_hours_end,regular_includes_sat,regular_includes_sun,after_hours_rate,third_shift_start,third_shift_end,third_shift_rate,weekend_rate,holiday_rate,bari_wc_1w_fee,bari_wc_rt_fee,bari_str_1w_fee,bari_str_rt_fee,o2_rate,o2_block_min,att_rate,att_block_min,wait_rate,wait_block_min,wait_grace_min,hazmat_fee,fuel_surcharge,dh_rate_tier1,dh_start_miles,dh_rate_tier2,dh_tier2_start_miles,dh_rate_tier3,dh_tier3_start_miles,dh_flat_fee,invoice_include_actual_times,po_number,invoice_method,er_po_number
Encompass Abilene,EHAB,Encompass Health Abilene,Encompass Health Abilene,"6401 Directors Pkwy, Abilene, TX 79606 ",(325) 691-1600 ,$35.00,4,,$45.00,$45.00,$10.00,$20.00,$90.00,,$90.00,$90.00,$20.00,$40.00,$180.00,,,,,,,,$4.00,,,21:00,07:00,y,y,$20.00,,,,$20.00,,,,,,$20.00,,$20.00,60,$20.00,60,60,$63.00,,$3.00,30,,,,,,n,,single,
Encompass Arlington,EHAR,Encompass Health Arlington ,Encompass Health Arlington,"3200 Matlock Rd, Arlington, TX 76015 ",(817) 468-4000 ,$35.00,4,,$45.00,$45.00,$10.00,$20.00,$90.00,,$90.00,$90.00,$20.00,$40.00,$180.00,,,,,,,,$4.00,,,21:00,07:00,y,y,$20.00,,,,$20.00,,,,,,$20.00,,$20.00,60,$20.00,60,60,$63.00,,$3.00,30,,,,,,n,,single,
Encompass Health Cityview,EHCV,Encompass Health Cityview ,Encompass Health Cityview,"6701 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 370-4700 ,$35.00,4,,$45.00,$45.00,$10.00,$20.00,$90.00,,$90.00,$90.00,$20.00,$40.00,$180.00,,,,,,,,$4.00,,,21:00,07:00,y,y,$20.00,,,,$20.00,,,,,,$20.00,,$20.00,60,$20.00,60,60,$63.00,,$3.00,30,,,,,,n,,single,
Encompass Health Mid Cities,EHMC,Encompass Health Mid-Cities,Encompass Health Mid-Cities,"2304 State Hwy 121, Bedford, TX 76021 ",(817) 684-2000 ,$35.00,4,,$45.00,$45.00,$10.00,$20.00,$90.00,,$90.00,$90.00,$20.00,$40.00,$180.00,,,,,,,,$4.00,,,21:00,07:00,y,y,$20.00,,,,$20.00,,,,,,$20.00,,$20.00,60,$20.00,60,60,$63.00,,$3.00,30,,,,,,n,,single,
Encompass Health Richardson,EHRI,Encompass Health Richardson  **Private Pay Pricing - No Ambulatory Rate**,Encompass Health Richardson,"3351 Waterview Pkwy, Richardson, TX 75080 ",(972) 398-5700 ,$40.00,2,,$55.00,$55.00,$10.00,$20.00,$105.00,,$100.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$7.00,$8.00,$4.00,$5.00,$4.00,,,17:00,23:00,,,$30.00,23:00,7:00,$55.00,$30.00,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,single,
Encompass Health Waco,EHWA,Encompass Health Waco  ***Using Private Pay Pricing,Encompass Health Waco,"3600 S Loop 340, Robinson, TX 76706 ",(254) 523-2200 ,$40.00,2,,$55.00,$55.00,$10.00,$20.00,$105.00,,$100.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$7.00,$8.00,$4.00,$5.00,$4.00,,,17:00,23:00,,,$30.00,23:00,7:00,$55.00,$30.00,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,single,
Encompass Plano,EHPL,Encompass Health Plano Rehab Hospital,Encompass Health Plano Rehab Hospital,"2800 W 15th St, Plano, TX 75075 ",(972) 612-9000 ,,,,$35.00,$35.00,$10.00,$20.00,$75.00,,$70.00,$70.00,$20.00,$40.00,$150.00,,,,,,,,$3.00,,,17:00,23:00,,,$20.00,23:00,7:00,$50.00,,,,,,,$20.00,,,,,,,,,,30,,,,,$30.00,n,,single,
Encompass San Angelo,THSA,N/A (Private Pay used),Texas Health San Angelo,"6046 Appaloosa Trail, San Angelo, TX 76901 ",(325) 284-4000 ,$40.00,2,,$35.00,$55.00,$10.00,$20.00,$105.00,,$60.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$8.00,,$4.00,$5.00,$4.00,$5.00,$7.00,17:00,23:00,,,$30.00,23:00,7:00,$55.00,,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,single,
Encompass Wichita Falls,EHWF,Encompass Health Wichita Falls ,Encompass Health Wichita Falls,"3901 Armory Rd, Wichita Falls, TX 76302 ",(940) 720-5700 ,$35.00,4,,$45.00,$45.00,$10.00,$20.00,$90.00,,$90.00,$90.00,$20.00,$40.00,$180.00,,,,,,,,$4.00,,,21:00,23:00,y,y,$20.00,,,,,,,,,,$20.00,,$20.00,60,$20.00,60,60,$63.00,,$3.00,30,,,,,,n,,single,
Garden Terrace,GTFW,Garden Terrace,Garden Terrace,"7500 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 346-8080 ,$35.00,2,,$60.00,$60.00,$10.00,$10.00,$100.00,,$120.00,$120.00,$20.00,$20.00,$200.00,,,$5.00,,,,,$4.00,,,17:00,08:00,y,,$25.00,,,,$50.00,,,,,,$25.00,30,,,$25.00,30,,$63.00,,$1.00,30,$2.00,31,,,,n,,single,
Harris Clearfork,THCF,Texas Health Hospital Clearfork    - 5400 Clearfork Main ,Texas Health Clearfork,"5400 Clearfork Main St, Fort Worth, TX 76109 ",(817) 433-7000 ,$40.00,4,,$42.00,$42.00,$13.00,$13.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,Unknown,thr_split,
Harris Downtown,HMDT,Texas Health Harris Methodist Hospital - 1301 Pennsylvania/ 1301 Cooper St,Texas Health Harris Methodist Hospital - 1301 Pennsylvania,"1301 Pennsylvania Ave, Fort Worth, TX 76104 ",(817) 250-2000 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,5002407419,thr_split,5002368174
Harris Southlake,HMSL,Texas Health Hospital Southlake   - 1545 E Southlake Blvd,Texas Health Southlake,"1545 E Southlake Blvd, Southlake, TX 76092 ",(817) 748-8700 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,Unknown,thr_split,
Harris Southwest,HMSW,Texas Health Harris Methodist Hospital SW Ft Worth   - 6100 Harris Pkwy,Texas Health Harris Methodist Hospital SW Ft Worth,"6100 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-5000 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,5002393038,thr_split,
Harrison at Heritage,HAHA,Harrison at Heritage,Harrison at Heritage,"4600 Heritage Trace Pkwy, Fort Worth, TX 76244 ",(817) 741-9360 ,$35.00,2,,$50.00,$50.00,$10.00,$10.00,$85.00,,$90.00,$90.00,$20.00,$20.00,$160.00,,,$4.00,,,,,$3.00,,,17:00,08:00,,,$20.00,,,,$20.00,$20.00,,,,,$20.00,30,,,$20.00,60,,$63.00,,$1.00,30,,,,,,n,,single,
Heart to Heart Hospice,H2HH,Heart To Heart Hospice,Heart to Heart Hospice,"6940 River Park Cir, Fort Worth, TX 76116 ",(817) 782-9557 ,$35.00,2,,$60.00,$60.00,$10.00,$10.00,$100.00,,$120.00,$120.00,$20.00,$20.00,$200.00,,,$5.00,,,,,$4.00,,,17:00,08:00,y,,$25.00,,,,$50.00,,,,,,$25.00,30,,,$25.00,30,,$63.00,,$1.00,30,$2.00,31,,,,n,,single,
HEB Hospital,THHEB,Texas Health Hospital H-E-B    1600 Hospital Pkwy,Texas Health H-E-B,"1600 Hospital Pkwy, Bedford, TX 76022 ",(817) 848-4000 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,$20.00,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,,single,
Hilltop Park Rehab & Care Center,HPRC,Hilltop Park Weatherford  ,Hilltop Park Weatherford,"970 Hilltop Dr, Weatherford, TX 76086 ",(817) 599-0000 ,$35.00,2,,$55.00,$55.00,$10.00,$10.00,$90.00,,$110.00,$110.00,$20.00,$20.00,$180.00,,,$5.00,,,,,$4.00,,,17:00,08:00,,,$30.00,,,,$30.00,$30.00,,,,,$25.00,30,,,$25.00,30,,$63.00,,$1.00,30,$2.00,31,,,,n,,single,
Immanuel Healthcare,IMHC,Immanuel's Healthcare,Immanuel's Healthcare,"4515 Village Creek Rd, Fort Worth, TX 76119 ",(817) 451-8704 ,$35.00,2,,$50.00,$50.00,$10.00,$10.00,$85.00,,$100.00,$100.00,$20.00,$20.00,$170.00,,,$5.00,,,,,$4.00,,,17:00,08:00,,,$30.00,,,,$30.00,,,,,,$25.00,30,,,$25.00,30,,$63.00,,$1.00,30,$2.00,50,$3.00,100,,n,,single,
James L West,JLWC,James L West Alzheimer's Center,James L West Alzheimer's Center,"1111 Summit Ave, Fort Worth, TX 76102 ",(817) 765-8945 ,$35.00,2,,$45.00,$45.00,$10.00,$20.00,$75.00,,$75.00,$75.00,$10.00,$25.00,$160.00,,,$5.00,,,,,$4.00,,,17:00,23:00,,,$20.00,23:00,7:00,$50.00,$20.00,$50.00,,,,,$20.00,,,,$20.00,60,60,$63.00,,,30,,,,,$30.00,n,,single,
Kindred Arlington,KHTC,Kindred Hospital - Tarrant County (Arlington)    1000 N Cooper ,Kindred Arlington,"1000 N Cooper St, Arlington, TX 76011 ",(817) 548-3400 ,,,,$60.00,$60.00,$0.00,$0.00,$100.00,,$120.00,$120.00,$0.00,$0.00,$200.00,,,$4.00,,,,,$5.00,,,n/a,n/a,,,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,,,,,,$63.00,,n/a,,,,,,,n,,single,
Legend Oaks Fort Worth,LOFW,Legend Oaks - Ft. Worth,Legend Oaks - Ft. Worth,"4240 Golden Triangle Blvd, Fort Worth, TX 76244 ",(817) 380-6400 ,$35.00,2,,$50.00,$50.00,$10.00,$10.00,$90.00,,$100.00,$100.00,$20.00,$20.00,$180.00,,,,,,,,$4.00,,,17:00,08:00,,,$30.00,,,,$30.00,,,,,,$25.00,30,,,$25.00,30,,$63.00,,$1.00,30,$2.00,31,,,,n,,single,
Lifecare Haltom City,LCHC,Life Care Center of Haltom,Life Care Center of Haltom,"2936 Markum Dr, Haltom City, TX 76117 ",(817) 831-0545 ,$35.00,2,,$45.00,$45.00,$10.00,$20.00,$85.00,,$80.00,$80.00,$20.00,$40.00,$160.00,,,$5.00,,,,,$4.00,,,19:00,08:00,y,y,$15.00,,,,$15.00,,,,,,$20.00,,,,$20.00,60,60,$63.00,,$1.00,30,,,,,,n,,single,
MedStar Mobile Healthcare,MSMH,Med Star Mobile Healthcare,Med Star Mobile Healthcare,"2900 Alta Mere Dr, Fort Worth, TX 76116 ",(817) 923-3700 ,$35.00,2,$40.00,$25.00,$40.00,,,$105.00,$75.00,$40.00,$70.00,,,$200.00,$7.00,$3.00,,,,,,$3.00,,,18:00,05:00,,,$20.00,,,,$20.00,,,,,,n/a,n/a,,,,,,$63.00,,n/a,,,,,,,n,,single,
Mirabella Asst Living(pp unless Auth by Admin),MALMC,Mirabella Assisted Living,Mirabella Assisted Living,"4242 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 763-0088 ,$35.00,4,,$45.00,$45.00,$10.00,$10.00,$90.00,,$90.00,$90.00,$20.00,$20.00,$180.00,,,$5.00,,,,,$4.00,,,17:00,23:00,,,$20.00,23:00,5:00,$50.00,$20.00,$20.00,$50.00,,,,$20.00,60,$20.00,60,$20.00,60,,$63.00,,$1.00,30,$2.00,100,,,,n,,single,
North Pointe Nursing & Rehab,NPNR,N/A (Private Pay used),North Pointe Nursing & Rehabilitation,"7804 Virgil Anthony Blvd, Watauga, TX 76148 ",(817) 498-7220 ,$40.00,2,,$35.00,$55.00,$10.00,$20.00,$105.00,,$60.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$8.00,,$4.00,$5.00,$4.00,$5.00,$7.00,17:00,23:00,,,$30.00,23:00,7:00,$55.00,,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,single,
Pathway Hospice,PATH,Pathway Hospice,Pathway Hospice,"1101 E Arapaho Rd #130, Richardson, TX 75081 ",(214) 377-9377 ,$35.00,2,,$55.00,$55.00,$10.00,$10.00,$145.00,,$110.00,$110.00,$20.00,$20.00,$290.00,,,$5.00,,,,,$5.00,,,17:00,08:00,y,y,$30.00,,,,,,$50.00,,,,$25.00,30,$25.00,60,$25.00,30,,$63.00,,$1.00,30,$2.00,50,$3.00,100,,n,,single,
Private Pay,PRPY,Private Pay ,,,,$40.00,2,,$35.00,$55.00,$10.00,$20.00,$105.00,,$60.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$7.00,$8.00,$4.00,$5.00,$4.00,,,17:00,23:00,,,$30.00,23:00,7:00,$55.00,$30.00,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,individual,
Renaissance Park,RPMC,Renaissance Park Multi Care Center,Renaissance Park Multi Care Center,"4252 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 738-2975 ,$35.00,2,,$45.00,$45.00,$10.00,$20.00,$85.00,,$80.00,$80.00,$20.00,$40.00,$160.00,,,$5.00,,,,,$4.00,,,17:00,08:00,,,$25.00,,,,,,,,,,$20.00,,,,$20.00,60,,$63.00,,$1.00,30,,,,,,n,,single,
Richland Hills Rehab,RHNR,Richland Hills Healthcare and Rehab,Richland Hills Healthcare and Rehab,"3109 Kings Ct, Fort Worth, TX 76118 ",(817) 589-2431 ,$35.00,3,,$45.00,$45.00,$10.00,$10.00,$90.00,,$90.00,$90.00,$20.00,$20.00,$180.00,,,$5.00,,,,,$4.00,,,17:00,08:00,,,$20.00,,,,$20.00,$20.00,,,,,$20.00,,$20.00,60,$20.00,60,60,$63.00,,$1.00,30,,,,,,n,,single,
Southwest Nursing and Rehab,SWNR,Southwest Nursing & Rehab,Southwest Nursing & Rehab,"5300 Altamesa Blvd, Fort Worth, TX 76133 ",(817) 346-1800 ,$35.00,2,,$45.00,$45.00,$10.00,$10.00,$85.00,,$90.00,$90.00,$20.00,$20.00,$170.00,,,$5.00,,,,,$4.00,,,17:00,08:00,,,$20.00,,,,$20.00,$20.00,,,,,$20.00,30,$20.00,30,$20.00,30,,$63.00,,$1.00,30,,,,,,n,,single,
Stayton,STAY,Stayton at Museum Way ,Stayton at Museum Way,"2501 Museum Way, Fort Worth, TX 76107 ",(817) 349-7140 ,$35.00,2,,$55.00,$55.00,$10.00,$15.00,$90.00,,$100.00,$100.00,$20.00,$30.00,$170.00,,,,,,,,$5.00,,,17:00,07:00,,,$20.00,,,,$20.00,,,,,,$20.00,,$20.00,60,$20.00,60,,$63.00,,$1.00,30,,,,,,n,,single,
Texas Health Alliance,THAL,Texas Health Alliance  ,Texas Health Alliance,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,5001834627,thr_split,
Texas Health Azle,THAZ,Texas Health Azle,Texas Health Azle,"108 Denver Trail, Azle, TX 76020 ",(817) 444-8600 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,Unknown,thr_split,
Texas Health Cleburne,THCL,Texas Health Cleburne   - Using Private Pay Pricing,Texas Health Cleburne,"201 Walls Dr, Cleburne, TX 76033 ",(817) 641-2551 ,$40.00,2,,$35.00,$55.00,$10.00,$20.00,$105.00,,$60.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$8.00,,$4.00,$5.00,$4.00,$5.00,$7.00,17:00,23:00,,,$30.00,23:00,7:00,$55.00,,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,5001626905,thr_split,
Texas Health Huguley,THHU,N/A (Matched other THR rates),Texas Health Huguley,"11801 South Fwy, Burleson, TX 76028 ",(817) 293-9110 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,Unknown,thr_split,
Texas Rehab Fort Worth,TRFW,Texas Rehab Hospital Ft Worth *ONE WAY ONLY* 425 Alabama,Texas Rehab Hospital Ft Worth,"425 Alabama Ave, Fort Worth, TX 76104 ",(817) 820-3400 ,,,,$60.00,$60.00,$0.00,$0.00,$100.00,,,,,,,,,$6.00,,,,,$5.00,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,,,,,,$63.00,,n/a,30,,,,,,n,,single,
Texas Rehab Keller,TRKL,Texas Rehab of Keller,Texas Rehab of Keller,"791 S Main St, Keller, TX 76248 ",(817) 562-9703 ,$35.00,2,,$45.00,$45.00,$10.00,$10.00,$80.00,,$90.00,$90.00,$20.00,$20.00,$160.00,,,$5.00,,,,,$4.00,,,17:00,22:00,,,$20.00,22:00,8:00,$50.00,$20.00,$20.00,$50.00,,,,$20.00,60,$20.00,30,$20.00,30,,$63.00,,$1.00,30,,,,,,n,,single,
THR Alliance,THAL,Texas Health Alliance  ,Texas Health Alliance,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,5001834627,thr_split,
THR Denton,THPD,N/A (Matched other THR rates) ,Texas Health Denton Presbyterian Hospital,"3000 I-35, Denton, TX 76201 ",(940) 898-7000 ,$40.00,4,,$42.00,$42.00,$12.00,$12.00,$140.00,,$84.00,$84.00,$24.00,$24.00,$280.00,,$4.00,$5.00,,,,,$3.00,,,18:00,07:00,y,y,$20.00,,,,,$20.00,$10.00,$20.00,$37.00,$74.00,$21.00,,,,$15.00,15,30,$63.00,$0.75,,30,,,,,$40.00,n,Unknown,thr_split,
Three Oaks Hospice,TOHFW,Three Oaks Hospice,Three Oaks Hospice," 500 Grapevine Hwy Suite 225, Hurst, TX 76054 ",(817) 765-6793 ,$35.00,2,,$60.00,$60.00,$10.00,$10.00,$100.00,,$120.00,$120.00,$20.00,$20.00,$200.00,,,$5.00,,,,,$4.00,,,17:00,08:00,y,,$25.00,,,,$50.00,$25.00,,,,,$25.00,30,$25.00,30,$25.00,30,,$63.00,,$1.00,30,$2.00,31,,,,n,,single,
Trinity Terrace,TRTE,Trinity Terrace,Trinity Terrace,"1600 Texas St, Fort Worth, TX 76102 ",(817) 338-2400 ,$35.00,4,,$45.00,$45.00,$10.00,$20.00,$85.00,,$80.00,$80.00,$10.00,$20.00,$160.00,,,$5.00,,,,,$4.00,,,17:00,23:00,,,$20.00,23:00,7:00,$50.00,$20.00,$20.00,$50.00,,,,$20.00,60,$20.00,60,$20.00,60,,$63.00,,$1.00,30,$2.00,100,,,,n,,single,
